Code,Streets,LGA,lat,lon,Print_Count,Installation_Status,Installation_Points
NAS_321,ZAKARI SADIQ LINK,NASSARAWA,11.99574036,8.57262602,2,Installed,2
NAS_76,BICHI LINK,NASSARAWA,11.99574036,8.57262602,2,Installed,2
NAS_259,SALIHU GALEEL STREET,NASSARAWA,11.9951966,8.572100486,2,Installed,2
NAS_57,B.A ABDULLAHI LINK,NASSARAWA,11.99574252,8.571568649,2,Installed,1
NAS_18,ABDULRAHMAN ABUBAKAR LINK,NASSARAWA,11.99688214,8.570981421,2,Installed,3
NAS_293,UMAR IDRIS ILLO STREET,NASSARAWA,11.99690254,8.570448482,2,Installed,2
NAS_98,DR ABDU GREMA LINK,NASSARAWA,11.99690254,8.570448482,2,Installed,2
NAS_319,YUSUF KWARI LINK,NASSARAWA,11.99690254,8.570448482,2,Installed,2
NAS_62,BADAWA LAYOUT ROAD,NASSARAWA,11.997439,8.570485,2,Installed,2
NAS_261,SALISU MAI BOREHOLE STREET,NASSARAWA,11.9946441,8.577747732,2,Installed,2
TAR_55,HAMISU SULAIMAN MAJIA ROAD,TARAUNI,11.99742627,8.572763275,2,Pending,0
NAS_202,M.J. LAWAL STREET,NASSARAWA,11.99681771,8.573178985,2,Installed,2
NAS_133,HABIBA YAHAYA LINK,NASSARAWA,11.9968042,8.574644635,2,Installed,2
NAS_264,SANI IDI DAN FULANI STREET,NASSARAWA,11.99681771,8.573178985,2,Installed,2
NAS_158,JIBRIN ABDU STREET,NASSARAWA,11.99629225,8.574767172,2,Installed,2
NAS_9,A.M. PANDA STREET,NASSARAWA,11.99703724,8.575485903,2,Installed,2
NAS_215,MALAM MADORI STREET,NASSARAWA,11.99629225,8.574767172,2,Installed,2
NAS_127,GIDAN KARA LINK,NASSARAWA,11.99703724,8.575485903,2,Installed,2
NAS_8,A MAI GORO SAGAGI LINK,NASSARAWA,11.99661415,8.576753157,2,Installed,2
NAS_26,ADEOLA STREET,NASSARAWA,11.99609961,8.576884472,2,Installed,1
NAS_317,YUSUF ABDULLAHI STREET,NASSARAWA,11.99609961,8.576884472,2,Installed,2
NAS_240,NASIRU ALI YAKASAI STREET,NASSARAWA,11.99558742,8.576992003,2,Installed,2
NAS_27,ADNAN BABAYOLA LINK,NASSARAWA,11.9946441,8.577747732,2,Installed,2
NAS_308,YABUKU ABDUL PAIKO LINK,NASSARAWA,11.9946441,8.577747732,2,Installed,2
NAS_265,SANI SHUAIBU STREET,NASSARAWA,8.57793499,8.57793499,2,Installed,2
NAS_229,MUSA KALLA STREET,NASSARAWA,11.9944188,8.576851271,2,Installed,2
NAS_70,BARRISTER ISA BELLO STREET,NASSARAWA,11.9944188,8.576738,2,Installed,3
NAS_39,ALI ZANGO STREET,NASSARAWA,11.99474593,8.575148236,2,Installed,2
NAS_249,RENNER STREET,NASSARAWA,11.99522271,8.575065686,2,Installed,2
NAS_99,DR. ALI IDI LINK,NASSARAWA,11.99463819,8.573816899,2,Installed,2
NAS_37,ALI ALI MUHAMMAD LINK,NASSARAWA,11.99392454,8.573818338,2,Installed,2
NAS_135,HAFSAT AVENUE,NASSARAWA,11.99355,8.575157,2,Installed,2
NAS_58,B Z TAGWAI STREET,NASSARAWA,11.99355,8.575157,2,Installed,3
NAS_242,NATIONAL AVENUE,NASSARAWA,11.99410421,8.572088085,2,Installed,2
NAS_107,ENGR. GAMBO ABUBAKAR STREET,NASSARAWA,11.9944163,8.572159484,2,Installed,2
NAS_241,NASIRU SAMINU LINK,NASSARAWA,11.99357844,8.572088571,2,Installed,2
NAS_156,IZZUDDEEN ABUBAKAR LINK,NASSARAWA,11.9944163,8.572159484,2,Installed,2
NAS_212,MAIMUNA LINK,NASSARAWA,11.9918821,8.571844057,2,Installed,2
NAS_43,AMB. BUBA AHMED STREET,NASSARAWA,11.9913217,8.571844703,2,Installed,2
NAS_225,MUH'D FAITH KARUBE STREET,NASSARAWA,11.9913217,8.571844703,2,Installed,2
NAS_238,NA'ANNABI AHMED STREET,NASSARAWA,11.99131258,8.57239211,2,Pending,0
NAS_273,SIR PETER OBEBI CLOSE,NASSARAWA,11.9974744,8.577715239,1,Installed,1
NAS_235,MUSTAPHA TELA CLOSE,NASSARAWA,11.98011822,8.575006416,1,Installed,1
NAS_236,MUSTAPHA TELA STREET,NASSARAWA,11.97986742,8.574172234,2,Installed,1
NAS_113,GARBA KAZAURE STREET,NASSARAWA,11.97986742,8.574172234,2,Installed,2
NAS_97,DPO STREET,NASSARAWA,11.98100479,8.573148892,2,Pending,0
NAS_239,NASIR WANZAN STREET,NASSARAWA,11.981627,8.574221,2,Pending,0
NAS_178,KWANYAWA STREET,NASSARAWA,11.98083725,8.576637473,2,Installed,2
NAS_322,ZANNAN ALBASU STREET,NASSARAWA,11.98164142,8.574736837,2,Installed,2
NAS_86,DAN GAYA STREET,NASSARAWA,11.98247,8.576927,2,Installed,2
NAS_56,AYUBA MAI MAI STREET,NASSARAWA,11.98080355,8.578230519,2,Installed,2
NAS_192,LAYIN MADORA STREET,NASSARAWA,11.98058,8.579276,2,Installed,2
NAS_13,ABBAS MAI WANKI STREET,NASSARAWA,11.98058,8.579276,2,Pending,0
NAS_54,AUYO STREET,NASSARAWA,11.97620852,8.577720738,2,Installed,2
NAS_53,AUDU SAYE STREET,NASSARAWA,11.97544946,8.574808166,2,Installed,2
TAR_129,SANI GWARZO STREET,TARAUNI,11.97544946,8.574808166,2,Pending,0
NAS_167,KAWO MAIGARI ROAD,NASSARAWA,11.97607144,8.57441855,2,Installed,1
FAG_43,ILARO ROAD,FAGGE,12.012207,8.543018,2,Installed,2
FAG_5,FRANCE ROAD,FAGGE,12.01467,8.543395,18,Installed,2
FAG_28,DANBATTA WAY,FAGGE,12.016637,8.542556,2,Installed,2
FAG_91,YORUBA ROAD,FAGGE,12.016679,8.532632,2,Installed,2
FAG_33,EYE HOSPITAL ROAD,FAGGE,12.017972,8.545547,2,Installed,2
FAG_44,INDEPENDENCE ROAD,FAGGE,12.022057,8.577282,7,Installed,2
FAG_80,SANI MARSHAL ROAD,FAGGE,12.024801,8.543472,10,Installed,2
NAS_219,MILLER ROAD,NASSARAWA,12.016305,8.552146,2,Installed,2
FAG_26,CLUB ROAD,FAGGE,12.00872278,8.549467545,2,Pending,0
FAG_54,MAGANDA ROAD,FAGGE,12.013485,8.550258,2,Installed,2
NAS_220,MISSION ROAD,NASSARAWA,12.018372,8.544435,2,Installed,2
FAG_71,PARK ROAD,FAGGE,12.008095,8.540242,2,Installed,2
FAG_15,BANK ROAD,FAGGE,12.003562,8.537469,2,Installed,2
FAG_61,NIGER STREET,FAGGE,12.009424,8.541584,2,Installed,2
FAG_40,IGBO ROAD,FAGGE,12.010155,8.539821,2,Installed,2
FAG_19,BELLO ROAD,FAGGE,12.010179,8.538681,2,Installed,2
FAG_56,MAIKANO DUTSE ROAD,FAGGE,12.012081,8.539767,2,Pending,0
FAG_90,YOLAWA ROAD,FAGGE,12.006378,8.53875,2,Installed,2
FAG_79,SANI ABACHA WAY,FAGGE,12.014038,8.543422,3,Installed,1
NAS_52,AUDU BAKO WAY,NASSARAWA,12.003936,8.543085,9,Installed,2
TAR_44,DR BALA MUHAMMAD ROAD,TARAUNI,11.98646667,8.543333333,2,Installed,1
TAR_40,DAN HAUSA ROAD,TARAUNI,11.98653333,8.544566667,2,Pending,0
TAR_37,COMMISSIONER ROAD,TARAUNI,11.985394,8.5449694,2,Pending,0
NAS_64,BALA MUHAMMED WAY,NASSARAWA,11.98362809,8.543247097,2,Pending,0
TAR_32,BELLO KANO STREET,TARAUNI,11.98278142,8.545207104,2,Pending,0
TAR_74,KASHIM IBRAHIM WAY,TARAUNI,11.982097,8.5466639,2,Pending,0
TAR_33,BELLO TANKO TERRACE,TARAUNI,11.98076667,8.5446,2,Pending,0
TAR_71,JUSTICE DAHIRU MUSTAPHA ROAD,TARAUNI,11.96822,8.553611,2,Installed,2
TAR_62,IBRAHIM DABO ROAD,TARAUNI,11.979475,8.54441,2,Installed,2
TAR_34,BORNO AVENUE,TARAUNI,11.98581181,8.540936673,2,Pending,0
TAR_67,IYAKA ROAD,TARAUNI,11.98710793,8.541475141,3,Pending,0
NAS_96,DORAWA ROAD,NASSARAWA,11.989198,8.541985,2,Installed,2
NAS_61,BABURA ROAD,NASSARAWA,11.99044878,8.541678079,2,Pending,0
NAS_159,JIGAWA ROAD,NASSARAWA,11.990016,8.544262,2,Installed,2
NAS_313,YANDUTSE ROAD,NASSARAWA,11.98846925,8.546244344,2,Pending,0
NAS_199,LUGARD AVENUE,NASSARAWA,11.9890317,8.546970999,2,Pending,0
NAS_31,AHMADU BELLO WAY,NASSARAWA,12.005735,8.561053,14,Installed,2
NAS_274,SKY STREET,NASSARAWA,11.98991749,8.538798478,2,Pending,0
NAS_243,POLICE WALK WAY,NASSARAWA,11.99611,8.550377,2,Installed,2
FAG_38,NEW HOSPITAL ROAD,FAGGE,11.99589,8.550377,2,Installed,3
NAS_218,MEDICAL AVENUE,NASSARAWA,11.99759,8.551249,2,Installed,3
NAS_270,SHADAI CLOSE,NASSARAWA,11.00024,8.5504,1,Installed,1
NAS_12,ABBAS LINK,NASSARAWA,12.000652,8.552676,2,Installed,2
FAG_84,SULE GAYA ROAD,FAGGE,12.020436,8.564263,2,Installed,2
NAS_217,MAYU ROAD,NASSARAWA,11.99953262,8.546634259,2,Installed,2
NAS_198,LODGE ROAD,NASSARAWA,11.99392,8.549676,3,Installed,2
NAS_124,GIDADO MUKHTAR LINK,NASSARAWA,11.992248,8.552105,2,Installed,2
NAS_89,DANBAZAU ROAD,NASSARAWA,11.9896101,8.550353053,1,Installed,2
NAS_179,LAFIA ROAD,NASSARAWA,11.98893,8.554002,4,Installed,2
NAS_176,KWAIRANGA ROAD,NASSARAWA,11.990852,8.555926,2,Installed,3
NAS_42,ALU AVENUE,NASSARAWA,11.99269,8.557714,1,Installed,3
NAS_80,CAPT. ABDULLAHI LINK,NASSARAWA,11.99406272,8.558406038,2,Pending,0
NAS_129,GIMBA UMAR CLOSE,NASSARAWA,11.99605,8.55563,1,Installed,1
NAS_303,VAN GEORGE CLOSE,NASSARAWA,12.02655485,8.526920983,1,Installed,1
FAG_24,CEASER AVENUE,FAGGE,12.02655485,8.526920983,2,Installed,2
FAG_37,HAJJ CAMP ROAD,FAGGE,12.02808936,8.523780445,2,Installed,2
FAG_92,ZUNGERU ROAD,FAGGE,12.0279379,8.525757051,9,Installed,2
TAR_155,WHETHERHEAD STREET,TARAUNI,12.02808936,8.523780445,2,Installed,2
NAS_106,EGBE ROAD,NASSARAWA,12.0265397,8.529386867,2,Installed,2
TAR_133,SARKIN YAKI STREET,TARAUNI,12.02574169,8.529183174,2,Installed,2
NAS_110,FREETOWN STREET,NASSARAWA,12.0265397,8.529386867,2,Installed,2
FAG_60,NGURU AVENUE,FAGGE,12.02738657,8.529927719,2,Installed,2
