Code,Streets,Print_Count,lat,lon,Installation_Status,LGA
FAG_61,NIGER STREET,2,12.00942991,8.541463646,Pending,FAGGE
FAG_40,IGBO ROAD,2,12.010444,8.539715,Pending,FAGGE
FAG_19,BELLO ROAD,2,12.01009095,8.539235493,Pending,FAGGE
FAG_56,MAIKANO DUTSE ROAD,2,12.012081,8.539767,Pending,FAGGE
FAG_90,YOLAWA ROAD,2,12.005704,8.54175,Pending,FAGGE
FAG_79,SANI ABACHA WAY,3,12.00476961,8.541718559,Pending,FAGGE
NAS_52,AUDU BAKO WAY,9,12.00378,8.543122,Pending,NASSARAWA
TAR_44,DR BALA MUHAMMAD ROAD,2,11.98646667,8.543333333,Pending,TARAUNI
TAR_40,DAN HAUSA ROAD,2,11.98653333,8.544566667,Pending,TARAUNI
TAR_37,COMMISSIONER ROAD,2,11.985394,8.5449694,Pending,TARAUNI
NAS_64,BALA MUHAMMED WAY,2,11.98362809,8.543247097,Pending,NASSARAWA
TAR_32,BELLO KANO STREET,2,11.98278142,8.545207104,Pending,TARAUNI
TAR_74,KASHIM IBRAHIM WAY,2,11.982097,8.5466639,Pending,TARAUNI
TAR_33,BELLO TANKO TERRACE,2,11.98076667,8.5446,Pending,TARAUNI
TAR_71,JUSTICE DAHIRU MUSTAPHA ROAD,2,11.97829167,8.544497222,Pending,TARAUNI
TAR_62,IBRAHIM DABO ROAD,2,11.98210556,8.538813889,Pending,TARAUNI
TAR_34,BORNO AVENUE,2,11.98581181,8.540936673,Pending,TARAUNI
TAR_67,IYAKA ROAD,3,11.98710793,8.541475141,Pending,TARAUNI
NAS_96,DORAWA ROAD,2,11.98917889,8.541851189,Pending,NASSARAWA
NAS_61,BABURA ROAD,2,11.99044878,8.541678079,Pending,NASSARAWA
NAS_159,JIGAWA ROAD,2,11.98983086,8.544421984,Pending,NASSARAWA
NAS_313,YANDUTSE ROAD,2,11.98846925,8.546244344,Pending,NASSARAWA
NAS_199,LUGARD AVENUE,2,11.9890317,8.546970999,Pending,NASSARAWA
NAS_31,AHMADU BELLO WAY,14,11.98631,8.551113,Pending,NASSARAWA
NAS_274,SKY STREET,2,11.98991749,8.538798478,Pending,NASSARAWA
NAS_243,POLICE WALK WAY,2,11.99611255,8.550589942,Pending,NASSARAWA
FAG_38,NEW HOSPITAL ROAD,2,11.99589321,8.550377339,Pending,FAGGE
NAS_218,MEDICAL AVENUE,2,11.99758826,8.551248933,Pending,NASSARAWA
NAS_270,SHADAI CLOSE,1,12.00024489,8.550400292,Pending,NASSARAWA
NAS_12,ABBAS LINK,2,12.0004237,8.550945282,Pending,NASSARAWA
FAG_84,SULE GAYA ROAD,2,12.00110097,8.548727248,Pending,FAGGE
NAS_217,MAYU ROAD,2,11.99953262,8.546634259,Pending,NASSARAWA
NAS_198,LODGE ROAD,3,11.99391576,8.549676238,Pending,NASSARAWA
NAS_124,GIDADO MUKHTAR LINK,2,11.99240495,8.552249343,Pending,NASSARAWA
NAS_89,DANBAZAU ROAD,1,11.9896101,8.550353053,Pending,NASSARAWA
NAS_179,LAFIA ROAD,4,11.98892587,8.554002428,Pending,NASSARAWA
NAS_176,KWAIRANGA ROAD,2,11.99086463,8.555831224,Pending,NASSARAWA
NAS_42,ALU AVENUE,1,11.99269333,8.557714386,Pending,NASSARAWA
NAS_80,CAPT. ABDULLAHI LINK,2,11.99406272,8.558406038,Pending,NASSARAWA
NAS_129,GIMBA UMAR CLOSE,1,11.99599653,8.555618648,Pending,NASSARAWA
NAS_303,VAN GEORGE CLOSE,1,12.02655485,8.526920983,Pending,NASSARAWA
FAG_24,CEASER AVENUE,2,12.0275951,8.525659267,Pending,FAGGE
FAG_37,HAJJ CAMP ROAD,2,12.0279379,8.525757051,Pending,FAGGE
FAG_92,ZUNGERU ROAD,9,12.02808936,8.523780445,Pending,FAGGE
TAR_155,WHETHERHEAD STREET,2,12.02573164,8.528589756,Pending,TARAUNI
NAS_106,EGBE ROAD,2,12.02574169,8.529183174,Pending,NASSARAWA
TAR_133,SARKIN YAKI STREET,2,12.0265397,8.529386867,Pending,TARAUNI
NAS_110,FREETOWN STREET,2,12.026489,8.530159,Pending,NASSARAWA
FAG_60,NGURU AVENUE,2,12.02738657,8.529927719,Pending,FAGGE
FAG_65,ODUTOLA STREET,2,12.02739254,8.529384879,Pending,FAGGE
FAG_34,FEDERAL SECRETARIAT ROAD,2,12.02253483,8.516379784,Pending,FAGGE
FAG_8,AIRPORT ROAD,30,12.02818502,8.515239653,Pending,FAGGE
FAG_72,PEACE ESTATE ROAD,2,12.03017415,8.51158372,Pending,FAGGE
TAR_84,LAYIN LAJAWA ROAD,2,11.95850388,8.541285739,Pending,TARAUNI
TAR_92,MAI HULA STREET,2,11.95924748,8.540500465,Pending,TARAUNI
TAR_58,HASSAN GWARZO STREET,2,11.96094196,8.538654618,Pending,TARAUNI
TAR_147,TUDUN MALIKI ROAD,2,11.95749004,8.535018497,Pending,TARAUNI
TAR_149,UMAR TURAWA STREET,2,11.95488395,8.539676412,Pending,TARAUNI
TAR_113,MUHAMMAD SHESHE STREET,2,11.95576485,8.540589505,Pending,TARAUNI
TAR_88,ISAH KAITA ROAD,2,11.97023585,8.535393169,Pending,TARAUNI
NAS_4,17TH STREET,2,11.96965629,8.535617498,Pending,NASSARAWA
TAR_29,BAWO ROAD,2,11.96756102,8.536650874,Pending,TARAUNI
TAR_1,19TH LINK,2,11.97014877,8.537989183,Pending,TARAUNI
TAR_19,AUTAN BAWO STREET,2,11.97230265,8.534203337,Pending,TARAUNI
TAR_115,NASIRU KABARA STREET,2,11.97210782,8.533301329,Pending,TARAUNI
TAR_83,LAYIN KOTO STREET,2,11.96902064,8.531546264,Pending,TARAUNI
TAR_59,HAUSAWA GIWA STREET,2,11.96598352,8.529452009,Pending,TARAUNI
NAS_188,LAWAN NA'ALLAH STREET,2,11.97480263,8.537340337,Pending,NASSARAWA
NAS_150,IBRAHIM UMAR STREET,2,11.97591895,8.53869613,Pending,NASSARAWA
NAS_169,KAZAURE ROAD,2,11.97600907,8.56700732,Pending,NASSARAWA
NAS_21,ADAM ABUBAKAR GWARZO ROAD,2,11.976044,8.566961,Pending,NASSARAWA
NAS_22,ADAMU BAKER STREET,2,11.97684574,8.567529771,Pending,NASSARAWA
